rb_rush_Att,rb_rush_Yds,rb_rush_Y_per_Att,rb_rush_TD,rb_rec_Rec,rb_rec_Yds,rb_rec_Y_per_Rec,rb_rec_TD,rec_Rec,rec_Yds,rec_Y/R,rec_TD,rec_Y/G,ht,wt,forty,bench,vertical,broad_jump,cone,shuttle,age,dr_av,draft_year
516.0,2856.0,5.5,27.0,49.0,444.0,9.2,2.0,59.0,819.0,13.9,5.0,21.0,69.0,180.0,4.35,18.0,35.0,120.0,7.0,4.245,23.0,1.0,2002
519.0,3089.0,6.0,29.0,54.0,429.0,7.9,3.0,122.0,1807.0,14.4,14.5,46.2,73.0,206.0,4.57,26.0,35.0,113.0,7.11,4.29,24.0,1.0,2002
516.0,2856.0,5.5,27.0,49.0,444.0,9.2,2.0,72.0,814.0,11.3,3.0,18.5,72.0,217.0,4.56,18.0,40.5,126.0,6.82,4.13,22.0,21.0,2002
112.0,570.0,5.1,7.0,20.0,186.0,9.3,0.0,122.0,1807.0,14.4,14.5,46.2,68.0,237.0,4.47,30.0,35.0,116.0,7.18,4.25,22.0,9.0,2002
516.0,2856.0,5.5,27.0,49.0,444.0,9.2,2.0,125.0,2551.0,20.4,25.0,110.9,74.0,202.0,4.4,18.0,35.0,120.0,7.0,4.245,22.0,4.0,2003
516.0,2856.0,5.5,27.0,49.0,444.0,9.2,2.0,92.0,1831.0,19.9,20.0,53.9,74.0,230.0,4.41,18.0,39.0,132.0,7.0,4.245,22.0,92.0,2003
516.0,2856.0,5.5,27.0,49.0,444.0,9.2,2.0,110.0,2008.0,18.3,10.0,42.7,74.0,214.0,4.57,18.0,35.0,120.0,7.0,4.245,22.0,18.0,2003
349.0,2067.0,5.9,31.0,28.0,348.0,12.4,0.0,122.0,1807.0,14.4,14.5,46.2,72.0,223.0,4.45,18.0,35.0,120.0,7.0,4.245,21.0,26.0,2003
516.0,2856.0,5.5,27.0,49.0,444.0,9.2,2.0,77.0,1251.0,16.2,8.0,52.1,75.0,257.0,4.65,18.0,37.5,123.0,7.0,4.245,24.0,47.0,2003
460.0,2953.0,6.4,26.0,65.0,681.0,10.5,7.0,122.0,1807.0,14.4,14.5,46.2,73.0,228.0,4.45,19.0,35.0,120.0,7.0,4.245,23.0,50.0,2003
