Int,PD,Solo,ht,wt,forty,bench,vertical,broad_jump,cone,shuttle,age,dr_av,draft_year
14.0,14.5,60.0,72.0,194.0,4.71,18.0,41.0,125.0,6.75,4.35,22.0,9.0,2006
6.0,14.5,60.0,71.0,182.0,4.44,14.0,36.0,128.0,6.94,4.23,22.0,1.0,2006
4.0,14.5,60.0,73.0,209.0,4.63,21.0,40.0,127.0,6.89,4.1,23.0,18.0,2006
9.0,14.5,60.0,71.0,200.0,4.54,15.0,36.0,120.0,7.16,4.2,23.0,6.0,2006
7.0,14.5,60.0,73.0,209.0,4.45,11.0,40.5,122.0,7.09,4.17,22.0,10.0,2006
8.0,14.5,60.0,72.0,198.0,4.47,16.0,41.0,133.0,6.67,4.23,21.0,6.0,2006
3.0,14.5,60.0,74.0,216.0,4.63,14.0,40.0,123.0,6.79,4.15,22.0,1.0,2006
10.0,14.5,60.0,77.0,211.0,4.42,14.0,41.0,133.0,6.94,4.16,23.0,6.0,2006
7.0,14.5,60.0,73.0,220.0,4.64,18.0,37.5,124.0,6.94,4.27,23.0,22.0,2006
2.0,14.5,60.0,74.0,216.0,4.57,16.0,37.5,120.0,6.94,4.16,24.0,2.0,2006
2.0,14.5,60.0,73.0,198.0,4.48,14.0,41.5,129.0,6.94,4.16,23.0,0.0,2006
6.0,14.5,60.0,72.0,209.0,4.65,15.0,37.0,121.0,6.66,4.17,23.0,20.0,2006
8.0,14.5,60.0,73.0,194.0,4.55,11.0,36.0,122.0,6.94,4.16,23.0,4.0,2006
6.0,14.5,60.0,71.0,203.0,4.39,19.0,36.5,127.0,6.99,4.11,22.0,40.0,2006
6.0,14.5,60.0,70.0,202.0,4.5,17.0,40.0,127.0,6.72,3.95,21.0,2.0,2006
9.0,14.5,60.0,72.0,239.0,4.63,16.0,38.0,127.0,6.68,4.14,21.0,16.0,2006
